,City,City ID,Date,Max Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
116,Abu Samrah,172515,1552092357,4.28,0,64,2.82,35.3,37.18
117,Saint-Philippe,6138908,1552092352,-3.0,1,53,3.6,45.36,-73.48
118,Khatanga,2022572,1552092357,-21.0,64,69,6.07,71.98,102.47
119,Skelleftea,602913,1552092279,-7.78,88,85,5.1,64.75,20.95
120,Geneva,6458783,1552092293,9.0,90,61,4.1,46.2,6.15
121,Nowy Dwor Mazowiecki,763556,1552092340,6.11,0,80,4.6,52.43,20.72
122,Khash,1160571,1552092358,7.73,88,54,1.62,28.22,61.21
123,Hirara,1862505,1552089600,21.0,75,77,6.2,24.8,125.28
124,Conceicao do Araguaia,3401845,1552092358,26.9,32,85,2.37,-8.26,-49.26
125,Hobyo,57000,1552092359,24.4,0,92,5.37,5.35,48.53
126,Pevek,2122090,1552092359,-17.25,68,100,0.82,69.7,170.27
127,Abu Kamal,174448,1552092359,7.85,0,52,4.92,34.45,40.92
128,High Level,5975004,1552089600,-3.0,20,53,4.1,58.52,-117.13
129,Kristiansand,4793846,1552092352,6.11,90,100,1.17,37.36,-76.77
130,Sao Filipe,3374210,1552092360,21.65,0,94,7.62,14.9,-24.5
131,Darhan,2031964,1552092360,-14.25,0,65,1.27,49.49,105.92
132,Pangnirtung,6096551,1552092360,-20.5,0,52,2.52,66.15,-65.72
133,Bandarbeyla,64814,1552092360,25.13,92,100,5.32,9.49,50.81
134,Dongning,2037611,1552092360,7.4,20,33,4.17,44.06,131.12
135,Talnakh,1490256,1552092361,-13.23,80,85,7.02,69.49,88.39
136,Geraldton,5960603,1552089600,-6.0,5,29,1.0,49.72,-86.95
137,Chokurdakh,2126123,1552092361,-22.85,80,66,1.97,70.62,147.9
138,Rosario,3440747,1552092337,13.89,80,78,2.24,-34.31,-57.35
139,Cherskiy,2126199,1552092243,-17.9,80,75,1.32,68.75,161.3
140,Erenhot,2037485,1552092362,-2.03,88,50,6.67,43.65,111.97
141,Gat,2249901,1552089600,19.0,0,68,9.8,14.69,-16.54
142,Lewiston,4969398,1552092357,1.11,1,49,3.1,44.1,-70.21
143,Torbay,6167817,1552092361,-9.44,90,78,9.3,47.66,-52.73
144,Richards Bay,962367,1552092363,20.75,68,99,2.72,-28.77,32.06
145,Kizema,547871,1552092363,0.63,92,95,8.17,61.11,44.83
146,Viedma,3832899,1552092363,12.88,0,63,2.77,-40.81,-62.99
147,Papar,1733353,1552092017,29.44,75,74,1.5,5.73,115.93
148,Chuy,3443061,1552092218,20.98,92,79,8.52,-33.69,-53.46
149,Atambua,1651103,1552092363,27.0,0,100,1.97,-9.11,124.89
150,Drayton Valley,5942547,1552092363,-6.38,80,80,3.97,53.22,-114.98
151,Khandyga,2022773,1552092364,-16.6,56,75,1.32,62.65,135.58
152,Dingle,1714733,1552092364,24.98,48,85,3.12,11.0,122.67
153,Ponta do Sol,3453439,1552092364,21.78,12,82,1.87,-20.63,-46.0
154,Prince Rupert,6113406,1552089600,7.0,1,39,2.1,54.32,-130.32
155,Victoria,1733782,1552089600,27.0,90,88,1.0,5.28,115.24
156,Castro,3896218,1552089600,11.0,0,71,2.1,-42.48,-73.76
157,Aden,415189,1552092366,25.98,24,99,2.07,12.79,45.03
158,Mar del Plata,3863379,1552092366,17.35,0,42,3.42,-46.43,-67.52
159,Vale da Amoreira,2262963,1552092363,12.78,0,81,2.1,38.65,-9.04
160,Mogadishu,53654,1552092202,27.13,32,99,7.22,2.04,45.34
161,Wadi Musa,246008,1552092367,3.38,0,81,0.62,30.32,35.48
162,Rovaniemi,638936,1552090800,-7.0,90,85,7.2,66.5,25.72
163,Poum,787487,1552092367,-0.25,36,79,0.97,41.28,20.71
164,Lebu,344979,1552092143,7.18,0,84,1.92,8.96,38.73
165,Fortuna,2517679,1552092328,10.56,0,71,2.6,38.18,-1.13
166,Les Cayes,3728097,1552092367,25.65,0,100,3.57,18.19,-73.75
167,Ribeira Grande,3372707,1552092171,16.4,88,96,7.57,38.52,-28.7
168,Najran,103630,1552089600,16.0,5,38,1.22,17.54,44.22
169,Lorengau,2092164,1552092243,27.58,56,100,1.67,-2.02,147.27
170,Isangel,2136825,1552089600,25.0,75,88,5.1,-19.55,169.27
171,Adrar,2508813,1552089600,22.0,0,10,11.3,27.87,-0.29
172,Rio Gallegos,3838859,1552089600,14.0,0,47,11.8,-51.62,-69.22
